market,side,size,entry_price,realised_pnl,trade_pnl,funding_fees,trading_fees,exit_price,exit_type,closed_at
MON-USD,LONG,2080,0.02401,-0.043268,-0.0208,0,-0.022468,0.024,TRADE,2025-12-12T20:16:13.687Z
PENDLE-USD,LONG,22,2.1876,-0.114035,-0.0924,0,-0.021635,2.1834,TRADE,2025-12-12T20:07:13.545Z
MON-USD,LONG,2070,0.02406,-0.125887,-0.1035,0,-0.022387,0.02401,TRADE,2025-12-12T20:07:13.567Z
AERO-USD,LONG,82,0.60727,-0.050281,-0.02788,0,-0.022401,0.60693,TRADE,2025-12-12T19:59:33.613Z
PENDLE-USD,LONG,22,2.1756,-0.015138,0.0064,0,-0.021538,2.1759,TRADE,2025-12-12T19:59:34.496Z
STRK-USD,LONG,480,0.1033,-0.027111,-0.0048,0,-0.022311,0.10329,TRADE,2025-12-12T19:55:26.143Z
MON-USD,LONG,2080,0.02404,-0.064091,-0.0416,0,-0.022491,0.02402,TRADE,2025-12-12T19:55:25.378Z
WLFI-USD,LONG,350,0.14148,-0.008285,0.014,0,-0.022285,0.14152,TRADE,2025-12-12T17:36:14.416Z
PENDLE-USD,LONG,23,2.1678,0.002858,0.0253,0,-0.022442,2.1689,TRADE,2025-12-12T17:36:14.400Z
KAITO-USD,LONG,84,0.5942,0.011133,0.0336,0,-0.022467,0.5946,TRADE,2025-12-12T17:36:13.635Z
UNI-USD,LONG,9.4,5.2724,0.01529,0.0376,0,-0.02231,5.2764,TRADE,2025-12-12T17:36:14.415Z
MON-USD,LONG,2090,0.02389,-0.001572,0.0209,0,-0.022472,0.0239,TRADE,2025-12-12T17:36:13.635Z
UNI-USD,LONG,9.4,5.2816,-0.090945,-0.06862,0,-0.022325,5.2743,TRADE,2025-12-12T17:30:19.963Z
