Market,Side,Date,Position Size,Payment,Rate
IP,short,2025-11-26 21:00:00,11.05,-0.003085,-0.000104%
KAITO,short,2025-11-26 21:00:00,20.4,-0.009045,-0.000597%
SEI,short,2025-11-26 21:00:00,110.7,-0.000077,-0.000005%
APT,short,2025-11-26 21:00:00,6.68,-0.000301,-0.000020%
1000SHIB,short,2025-11-26 21:00:00,1745,-0.000302,-0.000020%
AVNT,short,2025-11-26 17:00:00,38.4,0.000182,0.000012%
WLFI,short,2025-11-26 17:00:00,110.7,-0.004175,-0.000235%
RESOLV,short,2025-11-26 17:00:00,147,-0.065661,-0.004231%
TRX,short,2025-11-26 17:00:00,110.7,0.000365,0.000012%
ADA,short,2025-11-26 17:00:00,36.1,0.000182,0.000012%
ONDO,short,2025-11-26 17:00:00,30.2,0.000182,0.000012%
CRV,short,2025-11-26 17:00:00,35.9,0.000182,0.000012%
KAITO,short,2025-11-26 17:00:00,21.4,-0.003881,-0.000256%
SEI,short,2025-11-26 17:00:00,111.8,-0.000423,-0.000028%
MNT,short,2025-11-25 21:00:00,0.4,0.000005,0.000012%
RESOLV,short,2025-11-25 21:00:00,3,-0.000163,-0.000401%
KAITO,short,2025-11-25 19:00:00,21.3,-0.024363,-0.001355%
KAITO,short,2025-11-25 18:00:00,21.3,-0.007736,-0.000499%
MON,short,2025-11-24 19:00:00,522.9,0.013740,0.000826%
RESOLV,short,2025-11-24 19:00:00,111,-0.019495,-0.001182%
MON,short,2025-11-24 18:00:00,607.1,0.012956,0.000793%
APEX,short,2025-11-24 18:00:00,20.9,0.000190,0.000012%
RESOLV,short,2025-11-24 18:00:00,111,0.000190,0.000012%
KAITO,short,2025-11-24 18:00:00,23.3,-0.000454,-0.000029%
MON,short,2025-11-24 17:00:00,607.1,0.014136,0.000931%
APEX,short,2025-11-24 17:00:00,20.9,0.000185,0.000012%
RESOLV,short,2025-11-24 17:00:00,111,0.000188,0.000012%
KAITO,short,2025-11-24 17:00:00,23.3,-0.000943,-0.000062%
MON,short,2025-11-24 16:00:00,607.1,-0.033092,-0.002176%
APEX,short,2025-11-24 16:00:00,20.9,0.000183,0.000012%
RESOLV,short,2025-11-24 16:00:00,111,0.000186,0.000012%
KAITO,short,2025-11-24 16:00:00,23.3,-0.000500,-0.000033%
MON,short,2025-11-23 16:00:00,505.8,0.008994,0.000573%
RESOLV,short,2025-11-23 16:00:00,124,0.000186,0.000012%
PENDLE,short,2025-11-23 16:00:00,11.06,0.000295,0.000012%
POPCAT,short,2025-11-23 16:00:00,167.7,0.000183,0.000012%
MON,short,2025-11-23 15:00:00,505.8,0.003344,0.000223%
RESOLV,short,2025-11-23 15:00:00,124,0.000182,0.000012%
PENDLE,short,2025-11-23 15:00:00,11.06,0.000025,0.000001%
POPCAT,short,2025-11-23 15:00:00,167.7,0.000180,0.000012%
